STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800101,46,17
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800102,44,21
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800103,42,20
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800104,36,10
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800105,34,13
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800106,37,8
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800107,33,12
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800108,38,23
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800109,42,17
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800110,32,11
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800111,34,17
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800112,59,11
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800113,35,11
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800114,39,15
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800115,48,33
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800116,55,25
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800117,48,27
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800118,42,28
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800119,43,27
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800120,36,26
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800121,43,18
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800122,38,18
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800123,38,25
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800124,42,12
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800125,27,10
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800126,30,12
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800127,35,11
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800128,38,20
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800129,39,22
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800130,39,10
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800131,31,10
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800201,28,3
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800202,24,6
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800203,28,8
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800204,23,9
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800205,33,10
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800206,34,5
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800207,30,13
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800208,35,12
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800209,43,12
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800210,32,10
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800211,39,10
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800212,38,19
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800213,41,22
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800214,42,19
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800215,38,19
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800216,29,14
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800217,31,10
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800218,31,10
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800219,33,14
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800220,45,15
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800221,49,24
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800222,41,26
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800223,36,29
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800224,55,29
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800225,50,26
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800226,46,21
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800227,30,8
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800228,32,10
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800229,33,3
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800301,20,0
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800302,28,4
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800303,28,3
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800304,40,12
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800305,51,24
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800306,47,22
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800307,52,29
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800308,61,33
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800309,52,20
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800310,55,28
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800311,38,14
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800312,38,15
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800313,36,12
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800314,35,26
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800315,39,16
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800316,42,15
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800317,48,25
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800318,52,34
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800319,50,23
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800320,56,29
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800321,58,35
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800322,52,29
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800323,44,21
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800324,42,21
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800325,57,31
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800326,56,25
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800327,47,29
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800328,55,30
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800329,55,39
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800330,44,44
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800331,56,36
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800401,43,30
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800402,56,33
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800403,54,33
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800404,62,39
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800405,65,40
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800406,55,34
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800407,67,38
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800408,60,42
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800409,63,44
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800410,59,45
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800411,71,46
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800412,72,41
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800413,72,45
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800414,67,39
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800415,63,40
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800416,63,38
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800417,48,23
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800418,58,33
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800419,64,36
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800420,67,43
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800421,68,46
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800422,71,36
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800423,64,31
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800424,72,43
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800425,62,49
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800426,65,47
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800427,63,44
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800428,52,41
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800429,44,39
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800430,52,39
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800501,55,39
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800502,-9999,38
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800503,68,44
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800504,80,45
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800505,75,50
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800506,87,51
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800507,83,49
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800508,80,46
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800509,64,38
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800510,60,36
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800511,70,48
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800512,67,53
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800513,72,51
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800514,80,55
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800515,72,44
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800516,68,39
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800517,73,43
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800518,76,48
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800519,67,53
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800520,80,55
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800521,74,53
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800522,61,50
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800523,84,55
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800524,89,64
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800525,88,62
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800526,82,48
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800527,74,42
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800528,75,44
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800529,77,53
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800530,77,49
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800531,72,57
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800601,78,61
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800602,83,63
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800603,81,61
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800604,84,56
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800605,74,49
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800606,76,47
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800607,77,56
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800608,77,59
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800609,79,41
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800610,63,41
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800611,66,38
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800612,68,39
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800613,74,44
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800614,77,45
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800615,78,55
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800616,85,51
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800617,74,46
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800618,78,49
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800619,75,48
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800620,79,54
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800621,70,54
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800622,81,51
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800623,87,59
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800624,90,55
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800625,91,68
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800626,91,65
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800627,86,63
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800628,92,58
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800629,83,62
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800630,81,63
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800701,80,54
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800702,83,56
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800703,82,59
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800704,83,62
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800705,89,59
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800706,87,60
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800707,79,48
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800708,83,57
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800709,89,62
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800710,87,56
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800711,85,62
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800712,88,61
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800713,83,50
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800714,88,56
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800715,91,61
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800716,92,67
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800717,95,66
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800718,90,63
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800719,92,64
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800720,93,68
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800721,100,74
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800722,101,70
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800723,94,70
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800724,87,55
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800725,89,62
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800726,92,65
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800727,88,64
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800728,85,68
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800729,-9999,60
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800730,87,58
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800731,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800801,88,64
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800802,87,64
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800803,90,68
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800804,90,68
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800805,91,67
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800806,94,64
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800807,88,60
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800808,91,68
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800809,92,69
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800810,92,68
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800811,86,65
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800812,89,64
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800813,90,57
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800814,85,56
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800815,83,58
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800816,80,54
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800817,75,56
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800818,78,56
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800819,86,50
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800820,80,60
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800821,76,59
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800822,81,56
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800823,89,54
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800824,91,64
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800825,94,57
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800826,95,61
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800827,95,61
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800828,95,64
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800829,85,68
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800830,88,70
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800831,-9999,-9999
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800901,89,70
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800902,96,72
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800903,98,60
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800904,88,58
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800905,86,58
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800906,79,62
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800907,89,57
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800908,81,51
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800909,83,50
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800910,81,53
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,19800911,80,47
